单词	发音	词性 中文释义	英文释义: 示例短语	补充内容	笔记
ap·pear	/əˈpɪər/	vi. 出现	emerge: appear on stage	【反】disappear 【联想】appearance 外表；反义 disappear 消失【词根】ap- 'to' + pear 'appear'	
ap·pear·ance	/əˈpɪərəns/	n. 外观	looks: change appearance	【联想】appear 出现【词根】ap- 'to' + pear 'appear' + -ance	
ap·pen·dix	/əˈpendɪks/	n. 附录	supplement: appendix of a book	【联想】append 附加【词根】ap- 'to' + pend 'hang' + -ix	
ap·pe·tite	/ˈæpətaɪt/	n. 食欲，胃口	desire for food: lose appetite	【词根】ap- 'to' + pet 'seek' + -ite	
ap·plaud	/əˈplɔːd/	v. 鼓掌	clap: applaud the performance	【同】CLAP, PRAISE 【联想】applause 鼓掌；同义 clap 拍手【词根】ap- 'to' + plaud 'clap'	
ap·ple	/ˈæpəl/	n. 苹果	fruit: red apple		
ap·pli·cant	/ˈæplɪkənt/	n. 申请人	candidate: job applicant	【词根】ap- 'to' + plic 'fold' + -ant【联想】apply 申请	
ap·pli·ca·tion	/ˌæplɪˈkeɪʃən/	n. 申请	request: job application	【词根】ap- 'to' + plic 'fold' + -ation【联想】apply 申请	
ap·ply	/əˈplaɪ/	vi. 申请	request: apply for a job	【词组】apply for a job【词根】ap- 'to' + ply 'fold'【联想】application 申请	
ap·point	/əˈpɔɪnt/	vt. 任命	assign: appoint a manager	【联想】appointment 约会【词根】ap- 'to' + point 'point'	
ap·point·ment	/əˈpɔɪntmənt/	n. 约会	meeting: have an appointment	【同】meeting. I made an appointment with the doctor 【联想】appoint 任命【词根】ap- 'to' + point 'point' + -ment	
ap·pre·ci·ate	/əˈpriːʃieɪt/	vt. 感激，欣赏	thank: appreciate a gift	【词根】ap- 'to' + preci 'price' + -ate【联想】appreciation 感激	
ap·pre·ci·a·tion	/əˌpriːʃiˈeɪʃən/	n. 感激	thank: show appreciation	【同】GRATITUDE, thanks 【联想】appreciate 欣赏【词根】ap- 'to' + preci 'price' + -ation	
approach	/əˈprəʊtʃ/	v. 接近	near: approach a problem	【同】come near 【反】leave 【联想】approachable 可接近的【词根】ap- 'to' + proach 'near'	
ap·pro·pri·ate	/əˈprəʊpriət/	a. 适当的	proper: appropriate response	【同】suitable, proper【词根】ap- 'to' + propri 'own' + -ate	
ap·prov·al	/əˈpruːvəl/	n. 批准	okay: seek approval	【同】ACCEPTANCE, agreement 【联想】approve 批准【词根】ap- 'to' + prove 'approve' + -al	
ap·prove	/əˈpruːv/	v. 批准	okay: approve a plan	【同】accept 【反】refuse. approve of doing something 【联想】approval 批准【词根】ap- 'to' + prove 'approve'	
ap·prox·i·mate·ly	/əˈprɒksɪmətli/	ad. 大约	roughly: approximately 100	【同】about 【联想】approximate 大约的【词根】ap- 'to' + proxim 'near' + -ately	
A·pril	/ˈeɪprəl/	n. 四月	month: in April	【同】Apr	
a·pron	/ˈeɪprən/	n. 围裙	garment worn over front of clothes: wear an apron	【同】garment worn over front of clothes	
ar·bi·tra·ry	/ˈɑːbɪtrəri/	a. 任意的	random: arbitrary decision	【同】random【词根】arbit 'judge' + -rary	
arch	/ɑːtʃ/	n. 拱门	curved structure: stone arch	【同】curved structure 【联想】architect 建筑师，architecture 建筑学	
ar·chi·tect	/ˈɑːkɪtekt/	n. 建筑师	designer: famous architect	【联想】architecture 建筑学【词根】archi- 'chief' + tect 'builder'	
ar·chi·tec·ture	/ˈɑːkɪtektʃər/	n. 建筑学	building design: modern architecture	【同】BUILDING DESIGN 【联想】architect 建筑师【词根】archi- 'chief' + tect 'builder' + -ure	
Arc·tic	/ˈɑːktɪk/	a. 北极的	north pole: the Arctic region	【联想】名词 Antarctic 南极	
are	/ɑːr/	v. 是	verb: we are happy	【备注】be 的复数形式【联想】be 词族	
ar·e·a	/ˈeəriə/	n. 区域	zone: city area		
ar·gue	/ˈɑːɡjuː/	vi. 争论	dispute: argue with someone	【同】quarrel 【联想】argument 争论【词根】arg 'make clear' + -ue	
ar·gu·ment	/ˈɑːɡjəmənt/	n. 争论	dispute: have an argument	【同】QUARREL, disagreement 【联想】argue 争论【词根】arg 'make clear' + -ument	
a·rise	/əˈraɪz/	vi. (arose, arisen) 发生，出现	emerge: arise from	【同】appear, emerge 【联想】形近 rise 上升，raise 举起【词根】a- 'up' + rise 'rise'	
a·rith·me·tic	/əˈrɪθmətɪk/	n. 算术	basic math calculations: do arithmetic	【同】basic math calculations【词根】arithm 'number' + -etic	
arm	/ɑːm/	n. 手臂	limb: raise an arm	【联想】armchair 扶手椅，army 军队	
arm·chair	/ˈɑːmtʃeər/	n. 扶手椅	chair: sit in an armchair	【联想】arm 手臂，chair 椅子	
ar·my	/ˈɑːmi/	n. 军队	military: join the army	【同】military, troops 【联想】arm 武器	
a·round	/əˈraʊnd/	prep. 围绕	surrounding: look around	【例句】There was a high fence around the school.	
ar·range	/əˈreɪndʒ/	vt. 安排	plan: arrange a meeting	【同】ORDER, ORGANIZE 【联想】arrangement 安排【词根】ar- 'to' + range 'rank'	
ar·range·ment	/əˈreɪndʒmənt/	n. 安排	plan: make an arrangement	【联想】arrange 安排【词根】ar- 'to' + range 'rank' + -ment	
ar·rest	/əˈrest/	vt. 逮捕	capture: arrest a criminal	【词根】ar- 'to' + re- 'back' + st 'stand'	
ar·riv·al	/əˈraɪvəl/	n. 到达	reach: upon arrival	【联想】arrive 到达【词根】ar- 'to' + riv 'shore' + -al	
ar·rive	/əˈraɪv/	vi. 到达	reach: arrive at a place	【同】reach, get to. arrive at the station 【联想】arrival 到达【词根】ar- 'to' + rive 'shore'【辨析】reach 到达(及物)；arrive 到达(in/at)	
ar·row	/ˈærəʊ/	n. 箭	pointed shaft: shoot an arrow	【词根】arrow 'arrow'	
art	/ɑːt/	n. 艺术	creative work: fine art	【联想】artist 艺术家	
ar·ti·cle	/ˈɑːtɪkəl/	n. 文章	essay: write an article	【例句】I read an interesting article about the technology of the future.【词根】art 'joint' + -icle	
ar·ti·fi·cial	/ˌɑːtɪˈfɪʃəl/	a. 人造的	man-made: artificial intelligence	【反】natural【词根】art 'art' + fic 'make' + -ial【同】make 【联想】词根 art 艺术；intelligence 智力	
art·ist	/ˈɑːtɪst/	n. 艺术家	creative person: talented artist	【联想】art 艺术【词根】art 'art' + -ist	
as	/æz/	prep. 作为	like: as soon as possible	【词组】as...as 和…一样【例句】He's as tall as his father now.	
ash	/æʃ/	n. 灰烬	powder after burning: burn to ash	【同】powder after burning	
a·shamed	/əˈʃeɪmd/	a. 羞愧的	embarrassed: feel ashamed	【词组】be ashamed of 【联想】shame 羞耻	
A·sia	/ˈeɪʒə/	n. 亚洲	continent: in Asia	【联想】名词 Asian 亚洲人	
A·sian	/ˈeɪʒən/	a. 亚洲的	from Asia: an Asian country	【联想】名词 Asia 亚洲	
a·side	/əˈsaɪd/	ad. 在旁边；到一边	to one side: put aside	【联想】side 边	
ask	/ɑːsk/	v. 问	inquire: ask for help	"【同】order, demand, request, inquire/enquire, beg.【例句】""Where have you been?"" asked my mother【词组】ask sb to do 请某人做，ask for 请求"	
a·sleep	/əˈsliːp/	a. 睡着的	sleeping: fall asleep	【反】awake 【联想】sleep 睡觉	
as·pect	/ˈæspekt/	n. 方面	facet: one aspect	【词根】a- 'to' + spect 'look'	
as·sess	/əˈses/	vt. 评估	evaluate: assess a project	【同】evaluate 【联想】assessment 评估；形近 access 通道【词根】as- 'to' + sess 'sit'	
as·sess·ment	/əˈsesmənt/	n. 评价	evaluation: performance assessment	【联想】assess 评估【词根】as- 'to' + sess 'sit' + -ment	
as·sist	/əˈsɪst/	v. 辅助	aid: assist someone	【同】help 【联想】assistance 援助【词根】as- 'to' + sist 'stand'	
as·sist·ance	/əˈsɪstəns/	n. 帮助	aid: technical assistance	【同】help 【联想】assist 协助【词根】as- 'to' + sist 'stand' + -ance	
as·sis·tant	/əˈsɪstənt/	n. 助手	helper: personal assistant	【联想】assist 协助【词根】as- 'to' + sist 'stand' + -ant	
as·so·ci·ate	/əˈsəʊsieɪt/	vt. 关联	link: associate with	【同】connect. associate sth with sth 【联想】association 协会【词根】as- 'to' + soci 'companion' + -ate	
as·so·ci·a·tion	/əˌsəʊsiˈeɪʃən/	n. 协会	group: trade association	【联想】associate 联合【词根】as- 'to' + soci 'companion' + -ation	
as·sume	/əˈsjuːm/	vt. 假设	suppose: assume responsibility	【同】suppose 【联想】assumption 假设【词根】as- 'to' + sume 'take'	
as·sump·tion	/əˈsʌmpʃən/	n. 假定	presumption: basic assumption	【联想】assume 假设【词根】as- 'to' + sumpt 'take' + -ion	
as·ton·ish	/əˈstɒnɪʃ/	vt. 使惊讶	amaze: astonish the world	【同】surprise 【联想】astonishment 惊讶【词根】a- 'to' + ston 'thunder' + -ish【辨析】surprise 惊讶；astonish 震惊	
as·tro·naut	/ˈæstrənɔːt/	n. 宇航员	spaceman: train an astronaut	【联想】词根 astro 星；astronomy 天文学【词根】astro 'star' + naut 'sailor'	
as·tron·o·mer	/əˈstrɒnəmər/	n. 天文学家	stargazer: famous astronomer	【联想】astronomy 天文学【词根】astro 'star' + nomer 'arrange'	
as·tron·o·my	/əˈstrɒnəmi/	n. 天文学	stargazing: study astronomy	【词根】astro 'star' + nomy 'law'【联想】astronaut 宇航员	
at	/æt/	prep. 在	in a place: at the park		
ath·lete	/ˈæθliːt/	n. 运动员	player: star athlete	【联想】athletic 运动的【词根】athl 'prize' + -ete	
ath·let·ic	/æθˈletɪk/	a. 运动的	sporty: athletic event	【联想】athlete 运动员【词根】athl 'prize' + -etic	
At·lan·tic	/ətˈlæntɪk/	n. 大西洋	ocean: the Atlantic Ocean		
at·mo·sphere	/ˈætməsfɪər/	n. 大气	surrounding air: atmosphere of a place	【联想】词根 sphere 球【词根】atmo 'vapour' + sphere 'ball'	
at·om	/ˈætəm/	n. 原子	particle: atom structure	【联想】atomic 原子的【词根】a- 'not' + tom 'cut'	
at·tach	/əˈtætʃ/	vt. 附着	fasten: attach a label	【同】fasten, join。【词根】at- 'to' + tach 'touch'【联想】attachment 附件；反义 detach 分离	
at·tack	/əˈtæk/	v. 攻击	assault: launch an attack	【反】defend 【联想】反义 defend 防卫【词根】at- 'to' + tack 'nail'	
at·tain	/əˈteɪn/	vt. 达到	achieve: attain a goal	【同】ACHIEVE, accomplish, reach, obtain, gain 【词根】at- 'to' + tain 'hold'【联想】同义 obtain 获得	
at·tempt	/əˈtempt/	vt. 尝试	try: attempt to do	【同】try【词根】at- 'to' + tempt 'try'	
at·tend	/əˈtend/	vt. 出席	be present: attend a meeting	【联想】attention 注意【词根】at- 'to' + tend 'stretch'	
at·ten·tion	/əˈtenʃən/	n. 注意	focus: pay attention	【词组】 pay attention to 注意 【联想】attend 出席【词根】at- 'to' + tent 'stretch' + -ion	
at·ti·tude	/ˈætɪtʃuːd/	n. 态度	stance: positive attitude	【联想】形近 altitude 高度【词根】attit 'inclination' + -ude	
at·tract	/əˈtrækt/	vt. 吸引	entice: attract customers	【同】ENTICE, allure, lure, tempt, charm 【联想】attraction 吸引力，attractive 有吸引力的【词根】at- 'to' + tract 'draw'	
at·trac·tion	/əˈtrækʃən/	n. 吸引力	appeal: tourist attraction	【联想】attract 吸引【词根】at- 'to' + tract 'draw' + -ion	
at·trac·tive	/əˈtræktɪv/	a. 有吸引力的	appealing: attractive offer	【同】pretty, beautiful, good-looking, handsome, gorgeous 【联想】attract 吸引【词根】at- 'to' + tract 'draw' + -ive	
au·di·ence	/ˈɔːdiəns/	n. 观众	viewers: large audience	【词根】aud 'hear' + -ience【联想】词根 aud 听	
Au·gust	/ˈɔːɡəst/	n. 八月	month: in August	【同】Aug	
aunt	/ɑːnt/	n. 阿姨	relative: my aunt	【反】uncle 【联想】uncle 叔叔	
Aus·tra·li·a	/ɒsˈtreɪliə/	n. 澳大利亚	country: in Australia	【联想】名词 Australian 澳大利亚人	
Aus·tra·li·an	/ɒsˈtreɪliən/	n. 澳大利亚人	person: Australian wildlife	【联想】名词 Australia 澳大利亚	
au·then·tic	/ɔːˈθentɪk/	a. 真正的	genuine: authentic product	"【同】real, GENUINE. ""the restaurant serves authentic Italian meals""【词根】aut 'self' + hent 'do' + -ic【联想】authenticity 真实性"	
au·thor	/ˈɔːθər/	n. 作者	writer: famous author	【同】writer 【联想】形近 authority 权威【词根】author 'creator'	
au·thor·i·ty	/ɔːˈθɒrəti/	n. 权威	power: have authority	【同】power 【联想】authorize 授权【词根】author 'creator' + -ity	
au·to·mat·ic	/ˌɔːtəˈmætɪk/	a. 自动的	self-acting: automatic door	【联想】auto 汽车，automation 自动化【词根】auto 'self' + mat 'move' + -ic	
au·ton·o·mous	/ɔːˈtɒnəməs/	a. 自治的	self-governing: autonomous region	【词根】auto 'self' + nom 'law' + -ous【联想】autonomy 自治	
au·tumn	/ˈɔːtəm/	n. 秋天	fall season: in autumn	【备注】英式，=fall 美式【联想】fall 秋天	
a·vail·a·ble	/əˈveɪləbəl/	a. 可用的	free: available seat	【用法】系动词后【词根】a- 'to' + vail 'worth' + -able	
av·e·nue	/ˈævənjuː/	n. 大道	road: main avenue	【同】road, street【词根】a- 'to' + venue 'come'	
av·e·rage	/ˈævərɪdʒ/	n. & a. 平均	mean; typical: average age	【词根】average 'average'	
a·void	/əˈvɔɪd/	vt. 避免	evade: avoid mistakes	【例句】She avoided trouble by keeping quiet.I left early to avoid getting stuck in traffic. 【联想】avoidance 避免【词根】a- 'to' + void 'empty'【辨析】avoid 避免(doing)；prevent 阻止(from doing)	
a·wake	/əˈweɪk/	a. (awoke, awoken) 醒着的	not asleep: awake from sleep	【用法】系动词后【例句】Mum was still awake when I got home.【联想】wake 醒来【辨析】wake 醒来(v)；awake 醒着(adj)	
a·ward	/əˈwɔːd/	n. 奖励	prize: award a prize	【同】prize	
a·ware	/əˈweər/	a. 意识到	know: be aware of	【词组】be aware of【同】conscious 【联想】awareness 意识	
a·way	/əˈweɪ/	ad. 离开	off: run away	【例句】We walked away from the building.	
awe·some	/ˈɔːsəm/	a. 极好的	great: awesome view	【同】good, amazing 【联想】awe 敬畏	
aw·ful	/ˈɔːfəl/	a. 糟糕的，可怕的	terrible: awful weather	【同】bad, terrible 【联想】awe 敬畏，awesome 极好的	
awk·ward	/ˈɔːkwəd/	a. 尴尬的，笨拙的	clumsy: awkward moment	【同】difficult, hard	
ba·by	/ˈbeɪbi/	n. 婴儿	newborn: cute baby	【同】infant	
bach·e·lor	/ˈbætʃələr/	n. 学士，单身汉	unmarried man: bachelor degree	【词根】bach 'stick' + -elor【同】unmarried man, degree	
back	/bæk/	n. & ad. 后面	rear: go back	【联想】background 背景，backward 向后	
back·ground	/ˈbækɡraʊnd/	n. 背景	setting: family background	【联想】back 背部，ground 地面	
back·ward	/ˈbækwəd/	ad. 向后	rearward: backward movement	【反】forward 【联想】反义 forward 向前	
back·wards	/ˈbækwədz/	ad. 向后	rearward: move backwards	【联想】backward 向后	
ba·con	/ˈbeɪkən/	n. 培根	meat: eat bacon	【同】meat 肉	
bac·te·ri·a	/bækˈtɪəriə/	n. 细菌	germs: harmful bacteria	【备注】复数【词根】bacter 'stick' + -ia【联想】单数 bacterium 细菌	
bacterium	/bækˈtɪəriəm/	n. 细菌	germs: a single bacterium	【备注】单数，通常用复数 bacteria【联想】复数 bacteria 细菌	
bad	/bæd/	a. (worse, worst) 坏的	poor: feel bad	【同】SEVERE, serious, grave, critical, acute, terrible, dreadful, awful, grim, distressing 【反】good 【联想】badly 糟糕地，worse 比较级，worst 最高级【词组】be bad for 对…有害	
bad·ly	/ˈbædli/	ad. 很坏地	poorly: be badly hurt	【联想】bad 坏的	
bad·min·ton	/ˈbædmɪntən/	n. 羽毛球	sport: play badminton		
bag	/bæɡ/	n. 包	container: carry a bag		
bag·gage	/ˈbæɡɪdʒ/	n. 行李	luggage: pack baggage	【联想】同义 luggage 行李	
bake	/beɪk/	v. 烘焙	cook: bake a cake	【同】cook 【联想】baker 面包师，bakery 面包店	
bak·er·y	/ˈbeɪkəri/	n. 面包店	shop: local bakery	【联想】bake 烘焙，baker 面包师	
bal·ance	/ˈbæləns/	n. 平衡	stability: keep balance	【词组】lose your balance	
bal·co·ny	/ˈbælkəni/	n. 阳台	porch: sit on a balcony		
ball	/bɔːl/	n. 球	sphere: kick a ball	【联想】basketball 篮球，football 足球	
bal·let	/ˈbæleɪ/	n. 芭蕾舞	dance: watch ballet		
bal·loon	/bəˈluːn/	n. 气球	inflatable: blow up a balloon		
bam·boo	/bæmˈbuː/	n. 竹子	plant: bamboo forest		
ban	/bæn/	vt. & n. 禁止	forbid: ban smoking	【同】prohibit 【反】allow	
ba·na·na	/bəˈnɑːnə/	n. 香蕉	fruit: eat a banana	【同】fruit 水果	
